timestep,zona,N,Fy_mean,Fy_std,Fy_max,frac_strong,Fx_mean,Fx_std,Fx_max,frac_strong_x,Fz_mean,Fz_std,Fz_max,frac_strong_z,anis_xz
3387500,top,5957,0.04131066785536177,2.562370296567036,23.788,0.23216384085949304,0.015147648789371708,2.037850810202849,13.927763724276907,0.23770354205136815,0.055349641042578474,2.08733339399968,15.3074,0.2346818868557999,-0.024310668971571005
3387500,bottom,5882,0.0031878032590224366,2.631506699929814,21.4835,0.2596055763345801,0.017218089933068146,2.156486769922385,14.070063459282395,0.24243454607276438,0.0020233312852601074,2.187117450613782,14.3396,0.2579054743284597,-0.014071667445985628
3393750,middle,6233,0.04347262646998716,2.5984079437883105,20.4336,0.23006577891865876,0.0005108942927534534,2.0955583629983208,12.610939531856316,0.25268730948179047,0.05187408483303707,2.125324271200874,14.2948,0.2326327611102198,-0.014401100978001288
3393750,top,5956,0.04554334551623792,2.649778123495303,24.6854,0.23085963734049697,0.016923572539192754,2.0992295845038,14.012349119628487,0.2364002686366689,0.058464919032308764,2.1532860284142723,15.6732,0.23472128945601076,-0.025754921516189765
3393750,bottom,5878,0.000593775604043894,2.7139037747149204,21.9183,0.26964954066008845,0.015706245518626222,2.209394281386931,14.49779578374244,0.24396053079278665,0.005210300111793129,2.2409769793039436,14.7554,0.2533174549166383,-0.014170012225395658
3400000,middle,6233,0.04712422704892026,2.690595316931526,20.8669,0.23006577891865876,-0.0008305717053749766,2.151752134877303,13.00321888260643,0.746029199422429,0.05422543934557195,2.183212777757496,14.6133,0.23279319749719235,-0.014822280701638636
3400000,top,5957,0.05015622542690953,2.744885212167547,25.7587,0.23350679872419003,0.01825900692903215,2.1643639279119844,14.226940632554614,0.23703206311901964,0.060721332233338934,2.225390526526422,16.1592,0.2346818868557999,-0.02813500265046482
3400000,bottom,5877,0.001713289713763814,2.7940001517684827,22.4533,0.2656117066530543,0.01621994378321234,2.2609207417412938,14.513460051980882,0.2434915773353752,0.007145329598026208,2.2944987811939708,15.1568,0.2501276161306789,-0.014720338160132003
3406250,middle,6235,0.05046338772592302,2.779899833928807,21.3716,0.229831595829992,-0.00438145852716253,2.216092543346167,13.417318067465256,0.7624699278267842,0.057488894767663196,2.246188397731359,15.023,0.23336006415396954,-0.01381379017333237
3406250,top,5961,0.05393170756455628,2.8439237258012615,26.8522,0.2326790806911592,0.01767944245506836,2.2349748302135124,14.290996904716227,0.23771179332326792,0.06455163355678929,2.2971230003619842,16.5861,0.2362019795336353,-0.02778374539402667
3406250,bottom,5861,0.0026724199214645953,2.874395367149304,23.3103,0.26002388670875276,0.013957994076305127,2.3156246538220353,15.09898085055769,0.24159699709947108,0.009883766736056994,2.3483643938588368,15.6973,0.2463743388500256,-0.014029373015290949
3412500,middle,6234,0.05388581892768848,2.8685974101498823,21.9291,0.22906641000962463,-0.005076438132695405,2.275538101522771,13.96344224072572,0.761469361565608,0.059663594164879694,2.310751777695585,15.5268,0.23179339108116778,-0.01568581379765465
3412500,top,5964,0.05386362152647384,2.9442115993031686,27.8219,0.2323943661971831,0.014489144448367753,2.301351627449712,14.78000837245694,0.24010731052984574,0.06483121593395706,2.3672814444772197,17.5257,0.23792756539235413,-0.02859286337385288
3412500,bottom,5859,0.0034112663740899535,2.958767916843251,24.2812,0.2601126472094214,0.01263826536624043,2.3719387829856684,15.280748507908541,0.24236217784604883,0.010855760771001881,2.4063338087363335,16.235,0.2464584400068271,-0.014391662763486112
3418750,middle,6235,0.05679827412836727,2.9630772977914184,22.5196,0.22999198075380914,-0.009544291767388748,2.3420404721685983,14.404758621197834,0.7648757016840417,0.06292032502335206,2.3753785525603153,15.9772,0.23368083400160386,-0.014475653011144349
